{obey}(nselect:0) 	 	 {heed, mind, listen}(nselect:0)
{obey}(nselect:0) 	 	 {comply, follow, abide by}(nselect:2)
{comply, follow, abide by}(nselect:2) 	 	 {oblige, accommodate}(nselect:0)
{comply, follow, abide by}(nselect:2) 	 	 {toe the line}(nselect:0)
{comply, follow, abide by}(nselect:2) 	 	 {conform to}(nselect:0)
{change}(nselect:0) 	 	 {rise, jump, climb up}(nselect:0)
{change}(nselect:0) 	 	 {assimilate}(nselect:0)
{change}(nselect:0) 	 	 {dissimilate}(nselect:0)
{change}(nselect:0) 	 	 {dissimilate}(nselect:0)
{change}(nselect:0) 	 	 {change magnitude}(nselect:0)
{change magnitude}(nselect:0) 	 	 {increase}(nselect:1)
{increase}(nselect:1) 	 	 {grow}(nselect:0)
{grow}(nselect:0) 	 	 {hypertrophy}(nselect:0)
{grow}(nselect:0) 	 	 {enlarge}(nselect:0)
{enlarge}(nselect:0) 	 	 {magnify, amplify}(nselect:1)
{grow}(nselect:0) 	 	 {augment}(nselect:0)
{grow}(nselect:0) 	 	 {vegetate}(nselect:0)
{grow}(nselect:0) 	 	 {mushroom}(nselect:0)
{grow}(nselect:0) 	 	 {overgrow, grow over}(nselect:0)
{grow}(nselect:0) 	 	 {stretch}(nselect:0)
{grow}(nselect:0) 	 	 {develop}(nselect:0)
{grow}(nselect:0) 	 	 {expand}(nselect:0)
{grow}(nselect:0) 	 	 {boom, thrive, flourish, expand}(nselect:0)
{grow}(nselect:0) 	 	 {proliferate}(nselect:0)
{grow}(nselect:0) 	 	 {lengthen}(nselect:0)
{grow}(nselect:0) 	 	 {ramify, branch}(nselect:0)
{grow}(nselect:0) 	 	 {burgeon}(nselect:0)
{grow}(nselect:0) 	 	 {root}(nselect:0)
{grow}(nselect:0) 	 	 {rise, prove}(nselect:0)
{grow}(nselect:0) 	 	 {expand, spread out}(nselect:0)
{grow}(nselect:0) 	 	 {rise, go up, climb}(nselect:9)
{rise, go up, climb}(nselect:9) 	 	 {soar}(nselect:0)
{rise, go up, climb}(nselect:9) 	 	 {bull}(nselect:0)
{increase}(nselect:1) 	 	 {add}(nselect:1)
{add}(nselect:1) 	 	 {modify, qualify}(nselect:0)
{add}(nselect:1) 	 	 {gild the lily, paint the lily}(nselect:0)
{add}(nselect:1) 	 	 {adjoin}(nselect:0)
{add}(nselect:1) 	 	 {work in}(nselect:0)
{add}(nselect:1) 	 	 {add on}(nselect:0)
{add}(nselect:1) 	 	 {mix, mix in}(nselect:0)
{add}(nselect:1) 	 	 {put on}(nselect:0)
{add}(nselect:1) 	 	 {butylate}(nselect:0)
{add}(nselect:1) 	 	 {put on}(nselect:0)
{add}(nselect:1) 	 	 {inject}(nselect:0)
{add}(nselect:1) 	 	 {welt}(nselect:0)
{add}(nselect:1) 	 	 {intercalate}(nselect:0)
{add}(nselect:1) 	 	 {punctuate, mark}(nselect:0)
{add}(nselect:1) 	 	 {concatenate}(nselect:0)
