root(nselect:0) 	 	 Verbo(nselect:0)
{waiter, server}(nselect:4) 	 	 {carhop}(nselect:0)
{waiter, server}(nselect:4) 	 	 {counterperson, counterwoman, counterman}(nselect:0)
{waiter, server}(nselect:4) 	 	 {sommelier, wine waiter, wine steward}(nselect:0)
{waiter, server}(nselect:4) 	 	 {waitress}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:20) 	 	 {adjudicator}(nselect:0)
{adjudicator}(nselect:0) 	 	 {official}(nselect:0)
{adjudicator}(nselect:0) 	 	 {judge, justice, jurist}(nselect:5)
{judge, justice, jurist}(nselect:5) 	 	 {alcalde}(nselect:0)
{judge, justice, jurist}(nselect:5) 	 	 {chief justice}(nselect:0)
{judge, justice, jurist}(nselect:5) 	 	 {Daniel}(nselect:0)
{judge, justice, jurist}(nselect:5) 	 	 {doge}(nselect:0)
{judge, justice, jurist}(nselect:5) 	 	 {justiciar, justiciary}(nselect:0)
{judge, justice, jurist}(nselect:5) 	 	 {magistrate}(nselect:0)
{judge, justice, jurist}(nselect:5) 	 	 {ordinary}(nselect:0)
{judge, justice, jurist}(nselect:5) 	 	 {praetor, pretor}(nselect:0)
{judge, justice, jurist}(nselect:5) 	 	 {qadi}(nselect:0)
{judge, justice, jurist}(nselect:5) 	 	 {recorder}(nselect:0)
{judge, justice, jurist}(nselect:5) 	 	 {trial judge}(nselect:0)
{judge, justice, jurist}(nselect:5) 	 	 {trier}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:20) 	 	 {creator}(nselect:0)
{creator}(nselect:0) 	 	 {architect, designer}(nselect:0)
{creator}(nselect:0) 	 	 {builder}(nselect:0)
{creator}(nselect:0) 	 	 {choreographer}(nselect:0)
{creator}(nselect:0) 	 	 {couturier, fashion designer, clothes designer, designer}(nselect:0)
{creator}(nselect:0) 	 	 {craftsman, crafter}(nselect:0)
{creator}(nselect:0) 	 	 {developer}(nselect:0)
{creator}(nselect:0) 	 	 {fantasist}(nselect:0)
{creator}(nselect:0) 	 	 {farmer, husbandman, granger, sodbuster}(nselect:0)
{creator}(nselect:0) 	 	 {inventor, discoverer, artificer}(nselect:0)
{creator}(nselect:0) 	 	 {maker, shaper}(nselect:0)
{creator}(nselect:0) 	 	 {modeler, modeller}(nselect:0)
{creator}(nselect:0) 	 	 {originator, conceiver, mastermind}(nselect:0)
{creator}(nselect:0) 	 	 {producer}(nselect:0)
{creator}(nselect:0) 	 	 {artist, creative person}(nselect:3)
{artist, creative person}(nselect:3) 	 	 {illustrator}(nselect:0)
{artist, creative person}(nselect:3) 	 	 {classic}(nselect:0)
{artist, creative person}(nselect:3) 	 	 {classicist}(nselect:0)
{artist, creative person}(nselect:3) 	 	 {constructivist}(nselect:0)
{artist, creative person}(nselect:3) 	 	 {decorator, ornamentalist}(nselect:0)
{artist, creative person}(nselect:3) 	 	 {draftsman, drawer}(nselect:0)
{artist, creative person}(nselect:3) 	 	 {etcher}(nselect:0)
{artist, creative person}(nselect:3) 	 	 {expressionist}(nselect:0)
{artist, creative person}(nselect:3) 	 	 {maestro, master}(nselect:0)
{artist, creative person}(nselect:3) 	 	 {minimalist}(nselect:0)
{artist, creative person}(nselect:3) 	 	 {modernist}(nselect:0)
{artist, creative person}(nselect:3) 	 	 {musician}(nselect:0)
{artist, creative person}(nselect:3) 	 	 {painter}(nselect:4)
{painter}(nselect:4) 	 	 {abstractionist, abstract artist}(nselect:0)
{painter}(nselect:4) 	 	 {colorist}(nselect:0)
{painter}(nselect:4) 	 	 {cubist}(nselect:0)
{painter}(nselect:4) 	 	 {dauber}(nselect:0)
{painter}(nselect:4) 	 	 {distortionist}(nselect:0)
{painter}(nselect:4) 	 	 {Fauve, fauvist}(nselect:0)
{painter}(nselect:4) 	 	 {genre painter}(nselect:0)
{painter}(nselect:4) 	 	 {impressionist}(nselect:0)
