Verbo(nselect:0) 	 	 {act, move}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {sign}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {speak, talk}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {telepathize, telepathise}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {write}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {radio}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {write}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {network}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {sign, signal, signalize, signalise}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {semaphore}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {whistle}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {give, throw}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {give, pay}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {give, render}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {carry, convey, express}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {issue}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {come across, come over}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {share}(nselect:0)
{communicate, intercommunicate}(nselect:0) 	 	 {get}(nselect:0)
{interact}(nselect:0) 	 	 {treat, handle, do by}(nselect:0)
{treat, handle, do by}(nselect:0) 	 	 {wrong}(nselect:0)
{wrong}(nselect:0) 	 	 {victimize, victimise}(nselect:0)
{victimize, victimise}(nselect:0) 	 	 {deceive, lead on, delude, cozen}(nselect:0)
{deceive, lead on, delude, cozen}(nselect:0) 	 	 {betray, sell}(nselect:0)
{deceive, lead on, delude, cozen}(nselect:0) 	 	 {cheat, chisel}(nselect:0)
{deceive, lead on, delude, cozen}(nselect:0) 	 	 {shill}(nselect:0)
{deceive, lead on, delude, cozen}(nselect:0) 	 	 {flim-flam, play a joke on, play tricks, trick, fob, fox, pull a fast one on, play a trick on}(nselect:0)
{deceive, lead on, delude, cozen}(nselect:0) 	 	 {cheat on, cheat, cuckold, betray, wander}(nselect:0)
{deceive, lead on, delude, cozen}(nselect:0) 	 	 {hoax, pull someone's leg, play a joke on}(nselect:0)
{deceive, lead on, delude, cozen}(nselect:0) 	 	 {ensnare, entrap, frame, set up}(nselect:0)
{deceive, lead on, delude, cozen}(nselect:0) 	 	 {humbug}(nselect:0)
{deceive, lead on, delude, cozen}(nselect:0) 	 	 {fool, gull, befool}(nselect:2)
{interact}(nselect:0) 	 	 {manipulate, keep in line, control}(nselect:0)
{manipulate, keep in line, control}(nselect:0) 	 	 {handle}(nselect:0)
{manipulate, keep in line, control}(nselect:0) 	 	 {ingratiate}(nselect:0)
{manipulate, keep in line, control}(nselect:0) 	 	 {tease}(nselect:1)
