Verbo(nselect:0) 	 	 {record, register}(nselect:4)
{get, acquire}(nselect:0) 	 	 {lease, rent, hire, charter, engage, take}(nselect:0)
{get, acquire}(nselect:0) 	 	 {receive, have}(nselect:0)
{get, acquire}(nselect:0) 	 	 {turn}(nselect:0)
{get, acquire}(nselect:0) 	 	 {buy}(nselect:0)
{get, acquire}(nselect:0) 	 	 {find}(nselect:0)
{get, acquire}(nselect:0) 	 	 {glom}(nselect:0)
{get, acquire}(nselect:0) 	 	 {enter upon, come upon, luck into}(nselect:0)
{get, acquire}(nselect:0) 	 	 {line up, get hold, come up, find}(nselect:0)
{get, acquire}(nselect:0) 	 	 {accept, take, have}(nselect:0)
{get, acquire}(nselect:0) 	 	 {recover, retrieve, find, regain}(nselect:0)
{get, acquire}(nselect:0) 	 	 {catch}(nselect:0)
{get, acquire}(nselect:0) 	 	 {recover, recoup, recuperate}(nselect:0)
{get, acquire}(nselect:0) 	 	 {reclaim, repossess}(nselect:0)
{get, acquire}(nselect:0) 	 	 {find, regain}(nselect:0)
{get, acquire}(nselect:0) 	 	 {acquire, win, gain}(nselect:0)
{get, acquire}(nselect:0) 	 	 {earn, garner}(nselect:0)
{get, acquire}(nselect:0) 	 	 {profit, gain, benefit}(nselect:0)
{get, acquire}(nselect:0) 	 	 {partake, share, partake in}(nselect:0)
{get, acquire}(nselect:0) 	 	 {preempt}(nselect:0)
{get, acquire}(nselect:0) 	 	 {preempt}(nselect:0)
{get, acquire}(nselect:0) 	 	 {collect, pick up, gather up, call for}(nselect:0)
{get, acquire}(nselect:0) 	 	 {inherit}(nselect:0)
{get, acquire}(nselect:0) 	 	 {borrow}(nselect:0)
{get, acquire}(nselect:0) 	 	 {pick up}(nselect:0)
{get, acquire}(nselect:0) 	 	 {get}(nselect:0)
{get, acquire}(nselect:0) 	 	 {poll}(nselect:0)
