root(nselect:0) 	 	 Verbo(nselect:0)
{communicator}(nselect:0) 	 	 {sympathizer, sympathiser, comforter}(nselect:0)
{communicator}(nselect:0) 	 	 {telepathist, thought-reader, mental telepathist, mind reader}(nselect:0)
{communicator}(nselect:0) 	 	 {twaddler}(nselect:0)
{communicator}(nselect:0) 	 	 {waffler}(nselect:0)
{communicator}(nselect:0) 	 	 {warner}(nselect:0)
{communicator}(nselect:0) 	 	 {waver}(nselect:0)
{communicator}(nselect:0) 	 	 {wirer}(nselect:0)
{communicator}(nselect:0) 	 	 {writer, author}(nselect:0)
{communicator}(nselect:0) 	 	 {reporter, newsman, newsperson}(nselect:7)
{reporter, newsman, newsperson}(nselect:7) 	 	 {newswoman}(nselect:0)
{reporter, newsman, newsperson}(nselect:7) 	 	 {television reporter, television newscaster, TV reporter, TV newsman}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {peer, equal, match, compeer}(nselect:0)
{peer, equal, match, compeer}(nselect:0) 	 	 {associate}(nselect:0)
{associate}(nselect:0) 	 	 {adjunct}(nselect:0)
{associate}(nselect:0) 	 	 {ally, friend}(nselect:0)
{associate}(nselect:0) 	 	 {bedfellow}(nselect:0)
{associate}(nselect:0) 	 	 {collaborator, cooperator, partner, pardner}(nselect:0)
{associate}(nselect:0) 	 	 {colleague, confrere, fellow}(nselect:0)
{associate}(nselect:0) 	 	 {colleague, co-worker, fellow worker, workfellow}(nselect:0)
{associate}(nselect:0) 	 	 {member, fellow member}(nselect:0)
{associate}(nselect:0) 	 	 {participant}(nselect:0)
{associate}(nselect:0) 	 	 {shipmate}(nselect:0)
{associate}(nselect:0) 	 	 {teammate, mate}(nselect:0)
{associate}(nselect:0) 	 	 {affiliate}(nselect:9)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {self}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {adventurer, venturer}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {anomaly, unusual person}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {applicant, applier}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {appointee, appointment}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {capitalist}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {captor, capturer}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {changer, modifier}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {color-blind person}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {commoner, common man, common person}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {contestant}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {coward}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {creator}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {disputant, controversialist, eristic}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {engineer, applied scientist, technologist}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {entertainer}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {experimenter}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {expert}(nselect:0)
{expert}(nselect:0) 	 	 {ace, adept, champion, sensation, maven, mavin, virtuoso, genius, hotshot, star, superstar, whiz, whizz, wizard, wiz}(nselect:0)
{expert}(nselect:0) 	 	 {agronomist}(nselect:0)
{expert}(nselect:0) 	 	 {all-rounder, all arounder}(nselect:0)
{expert}(nselect:0) 	 	 {analyst}(nselect:0)
{expert}(nselect:0) 	 	 {analyst}(nselect:0)
{expert}(nselect:0) 	 	 {anatomist}(nselect:0)
{expert}(nselect:0) 	 	 {antiquary, antiquarian, archaist}(nselect:0)
{expert}(nselect:0) 	 	 {arbiter, supreme authority}(nselect:0)
{expert}(nselect:0) 	 	 {archer, bowman}(nselect:0)
{expert}(nselect:0) 	 	 {authority}(nselect:0)
{authority}(nselect:0) 	 	 {adviser, advisor, consultant}(nselect:0)
{adviser, advisor, consultant}(nselect:0) 	 	 {amicus curiae, friend of the court}(nselect:0)
{adviser, advisor, consultant}(nselect:0) 	 	 {backroom boy, brain truster}(nselect:0)
{adviser, advisor, consultant}(nselect:0) 	 	 {beauty consultant}(nselect:0)
{adviser, advisor, consultant}(nselect:0) 	 	 {county agent, agricultural agent, extension agent}(nselect:0)
{adviser, advisor, consultant}(nselect:0) 	 	 {fashion consultant, fashionmonger}(nselect:0)
{adviser, advisor, consultant}(nselect:0) 	 	 {investment adviser, investment advisor}(nselect:0)
{adviser, advisor, consultant}(nselect:0) 	 	 {management consultant}(nselect:0)
{adviser, advisor, consultant}(nselect:0) 	 	 {media consultant, media guru}(nselect:0)
{adviser, advisor, consultant}(nselect:0) 	 	 {military adviser, military advisor}(nselect:0)
{adviser, advisor, consultant}(nselect:0) 	 	 {security consultant}(nselect:0)
{adviser, advisor, consultant}(nselect:0) 	 	 {starets}(nselect:0)
{adviser, advisor, consultant}(nselect:0) 	 	 {tipster, tout}(nselect:0)
{adviser, advisor, consultant}(nselect:0) 	 	 {counselor, counsellor}(nselect:4)
{counselor, counsellor}(nselect:4) 	 	 {Dutch uncle}(nselect:0)
{expert}(nselect:0) 	 	 {black belt}(nselect:0)
{expert}(nselect:0) 	 	 {cabalist, kabbalist}(nselect:0)
{expert}(nselect:0) 	 	 {calculator, reckoner, figurer, estimator, computer}(nselect:0)
{expert}(nselect:0) 	 	 {climatologist}(nselect:0)
{expert}(nselect:0) 	 	 {computer expert, computer guru}(nselect:0)
{expert}(nselect:0) 	 	 {cosmetologist}(nselect:0)
{expert}(nselect:0) 	 	 {efficiency expert, efficiency engineer}(nselect:0)
{expert}(nselect:0) 	 	 {exegete}(nselect:0)
{expert}(nselect:0) 	 	 {genealogist}(nselect:0)
{expert}(nselect:0) 	 	 {geographer}(nselect:0)
{expert}(nselect:0) 	 	 {horticulturist, plantsman}(nselect:0)
{expert}(nselect:0) 	 	 {investigator}(nselect:0)
{expert}(nselect:0) 	 	 {jurist, legal expert}(nselect:0)
{expert}(nselect:0) 	 	 {lapidary, lapidarist}(nselect:0)
{expert}(nselect:0) 	 	 {logician, logistician}(nselect:0)
{expert}(nselect:0) 	 	 {mnemonist}(nselect:0)
{expert}(nselect:0) 	 	 {mythologist}(nselect:0)
{expert}(nselect:0) 	 	 {nerd}(nselect:0)
{expert}(nselect:0) 	 	 {observer, commentator}(nselect:0)
{expert}(nselect:0) 	 	 {out-and-outer}(nselect:0)
{expert}(nselect:0) 	 	 {past master}(nselect:0)
{expert}(nselect:0) 	 	 {prosthetist}(nselect:0)
{expert}(nselect:0) 	 	 {pteridologist}(nselect:0)
{expert}(nselect:0) 	 	 {scout, pathfinder, guide}(nselect:0)
{expert}(nselect:0) 	 	 {shark}(nselect:0)
{expert}(nselect:0) 	 	 {shot, shooter}(nselect:0)
{expert}(nselect:0) 	 	 {specialist, specializer, specialiser}(nselect:0)
{expert}(nselect:0) 	 	 {talent}(nselect:0)
{expert}(nselect:0) 	 	 {technician}(nselect:0)
{expert}(nselect:0) 	 	 {technocrat}(nselect:0)
{expert}(nselect:0) 	 	 {therapist, healer}(nselect:0)
{expert}(nselect:0) 	 	 {veteran, old-timer, oldtimer, old hand, warhorse, old stager, stager}(nselect:0)
{expert}(nselect:0) 	 	 {parliamentarian}(nselect:14)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {face}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {female, female person}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {individualist}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {inhabitant, habitant, dweller, denizen, indweller}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {native, indigen, indigene, aborigine, aboriginal}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {native}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {innocent, inexperienced person}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:4) 	 	 {intellectual, intellect}(nselect:0)
